,n_classes,0,1,2,3,4,total,test_set,train_acc,train_loss,test_acc,test_loss,val_acc,val_loss,runtime
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.7853107452392578,0.7344111800193787,0.4000000059604645,1.3681272268295288,0.4516128897666931,1.454277753829956,12.855164881999372
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.6892655491828918,0.8938778638839722,0.4000000059604645,1.4051098823547363,0.3898304998874664,1.3679163455963137,8.782108230999995
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.508474588394165,1.248636245727539,0.4000000059604645,1.5021893978118896,0.3166666626930237,1.5149692296981812,8.06055150599991
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.3163841664791107,1.5409120321273804,0.342857152223587,1.6875146627426147,0.3888888955116272,1.568800926208496,9.309461836999615
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.5508474707603455,1.1540703773498535,0.2857142984867096,1.485579490661621,0.3571428656578064,1.4785184860229492,8.196301826000308
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.5395480394363403,1.1753846406936646,0.3714285790920257,1.4238272905349731,0.3000000119209289,1.5566043853759766,9.31496839500005
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.5790960192680359,1.1733343601226809,0.342857152223587,1.516777515411377,0.3793103396892547,1.5074487924575806,8.392431137000003
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.3248587548732757,1.55566143989563,0.3000000119209289,1.5438963174819946,0.3928571343421936,1.5197433233261108,20.19196363700001
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.5706214904785156,1.1545360088348389,0.4571428596973419,1.4727596044540403,0.3584905564785003,1.5215458869934082,8.144018944000095
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.3446327745914459,1.519526481628418,0.2000000029802322,1.6859548091888428,0.3000000119209289,1.5350099802017212,15.821641749000037
subj02,5.0,136.0,104.0,62.0,75.0,47.0,424.0,70.0,0.5451977252960205,1.221660614013672,0.3714285790920257,1.4937148094177246,0.3389830589294433,1.511569261550903,9.410373631999846
subj02,5.0,322.0,163.0,124.0,139.0,105.0,853.0,142.0,0.604781985282898,1.0677216053009033,0.34507042169570923,1.5600459575653076,0.43089431524276733,1.4411433935165405,10.763229308000518
